,metricType,symbol,metric.currentEv/freeCashFlowAnnual,metric.currentEv/freeCashFlowTTM,metric.currentRatioAnnual,metric.currentRatioQuarterly,metric.freeCashFlowAnnual,metric.freeCashFlowTTM,metric.longTermDebt/equityAnnual,metric.longTermDebt/equityQuarterly,metric.netInterestCoverageAnnual,metric.netInterestCoverageTTM,metric.payoutRatioAnnual,metric.payoutRatioTTM,metric.quickRatioAnnual,metric.quickRatioQuarterly,metric.totalDebt/totalEquityAnnual,metric.totalDebt/totalEquityQuarterly
9947,financialStrength,IP.MI,18.72096,16.16929,1.98509,1.98509,113.021,136.724,36.91962,36.91962,56.41905,55.76675,14.88175,14.88175,1.14093,1.14093,57.61703,57.61703
9948,financialStrength,I11.SI,,,0.72778,0.8167,3.743,1.101,16.3051,26.2814,0.35802,-0.4359,,,0.48912,0.56142,50.30282,56.88564
9949,financialStrength,IPB.AX,,,8.80183,4.23806,-1.23243,-1.33405,0,0,-8222.223,-7832.7,,,,,0,0
9950,financialStrength,IQE.L,,,1.93343,1.83032,-26.105,-41.526,0,19.80871,8.01839,3.17006,0,,1.20308,1.04019,0,20.79163
9951,financialStrength,IRE.MI,18.21832,,,,200.666,50.583,,,5.99739,6.28914,,0,,,,
9952,financialStrength,IRC.MI,45.20606,18.23948,2.43003,2.43003,18.094,18.094,6.63416,6.63416,,,41.0825,41.0825,1.15884,1.15884,38.71755,38.71755
9955,financialStrength,IRD.AX,,,0.10575,0.11331,-2.71598,-2.3134,0,0,,,,,,,4.78872,5.93903
9957,financialStrength,ISG.MI,41.81999,,1.62823,,1.189,-6.717,41.24117,,3.52729,-9.27734,0,,1.02308,,83.68449,
9958,financialStrength,I15.SI,,,1.24249,1.24249,10.268,12.331,54.33792,54.33792,0.94854,0.94854,,,1.10065,1.10065,69.83677,69.83677
9959,financialStrength,KPT.AX,,,8.50661,2.1766,-11.689,-10.639,21.51317,0,-4.05806,-4.11369,,,,,21.51317,29.13336
9961,financialStrength,ISU.AX,,,2.18377,2.05975,-4.209,-7.212,4.25122,3.53561,13.21053,-3.15146,,,,,5.86371,5.21714
9962,financialStrength,PUM.DE,26.72753,,1.59164,1.59164,278,278,40.79313,32.0506,12.09341,19.47788,28.5061,28.5061,0.87947,0.87947,49.06597,40.32344
9963,financialStrength,ISX.AX,868.8534,868.8534,1.14988,1.14988,3.61104,3.61104,8.83678,8.83678,,,0,0,,,11.4586,11.4586
9964,financialStrength,RIII.L,,,172.9506,172.9506,2.189,2.189,0,0,,,,,,,0,0
9965,financialStrength,ITI,,,1.58007,2.08683,-6.974,-5.163,0,0,,,,,1.45454,1.95297,0,0
9966,financialStrength,SRG.MI,,,,,,,,,59.48,,,28.7688,,,,
9967,financialStrength,SO.MI,142.1166,,0.85199,0.85064,1.039,,153.6058,171.3996,2.86655,2.43696,0,,0.60382,0.62736,185.511,241.4807
9968,financialStrength,PINF.MI,42.31431,,1.64221,1.40384,-5.16542,-14.52954,36.34241,51.77064,1.46407,-4.63799,0,,1.63258,1.3938,37.517,58.39744
9969,financialStrength,PIA.MI,,131.3572,0.77507,0.77507,22.993,55.148,125.0769,125.0769,4.42242,4.52385,84.06471,84.0647,0.46559,0.46559,161.5796,161.5796
9970,financialStrength,COF.MI,,,1.13959,1.06567,11.741,,123.1571,113.9324,2.35582,1.45052,222.2308,227.7037,1.01406,0.94279,175.8355,173.4796
9971,financialStrength,TXT.MI,,13.63818,2.94586,2.94586,-8.002,-2.22123,39.13038,39.13038,6.22555,6.23166,0,0,2.8495,2.8495,70.04716,70.04716
9972,financialStrength,TRN.MI,,,0.74305,,-211,,204.7074,,13.03337,14.28165,66.33599,43.27533,0.72446,,235.9474,
9973,financialStrength,TIS.MI,,,0.49629,0.68979,25.337,-18.526,,,-5.04117,-2.22763,,,,,,
9974,financialStrength,TIP.MI,,,1.1719,1.1719,,,42.89198,42.89198,,,47.57662,47.57662,,,68.51614,68.51614
9975,financialStrength,SSL.MI,7.46088,7.46088,0.46836,0.46836,50.67193,50.67193,45.51669,45.51669,-4.37011,-4.37011,,,0.45288,0.45288,138.7752,138.7752
9977,financialStrength,SES.MI,22.00636,16.61476,1.50575,1.36933,9.511,37.778,56.10963,54.72206,33.26641,44.56351,33.12389,27.13693,1.33886,1.22135,95.16018,101.9058
9979,financialStrength,SAB.MI,8.22008,8.22008,1.7528,1.7528,24.08,24.08,38.49906,38.49906,5.58962,6.598,,0,1.18411,1.18411,55.1194,55.1194
9980,financialStrength,RN.MI,,,23.22618,23.22618,-15.199,-15.199,313.5405,313.5405,-1.84591,-1.84591,,,0.50918,0.50918,317.5439,317.5439
9981,financialStrength,PRL.MI,,,1.59482,1.59482,-2.566,-2.566,77.67228,77.67228,,3.30863,,0,1.16153,1.16153,91.16534,91.16534
9982,financialStrength,TPE.DE,15.57082,,1.28672,1.28672,-3.239,-0.591,5.63727,5.63727,33.71351,25.36907,0,0,0.63603,0.63603,7.91939,7.91939
9983,financialStrength,MON.MI,5.08631,,0.56049,0.47565,2.598,,64.17409,33.99921,0.71408,4.17651,0,0,0.54801,,301.3647,199.9605
9984,financialStrength,MLM.MI,,,1.97931,,-4.577,,0,,,-500.3333,,,1.84861,,0,
9986,financialStrength,ITM.MI,,159.5227,4.54095,4.54095,,,8.74472,8.74472,,17.90921,39.7925,39.7925,4.21834,4.21834,13.01886,13.01886
9987,financialStrength,INC.MI,17.79528,16.6724,1.17558,1.17558,9.96103,9.96103,19.04253,19.04253,15.6649,15.6649,,0,1.14843,1.14843,38.38456,38.38456
9988,financialStrength,COV.MI,11.16702,13.49785,4.63764,4.55761,1.79157,1.0663,0,0,,84.82971,55.73105,62.93086,3.22954,3.25013,0,0
9989,financialStrength,ITM.L,,,2.03201,4.61899,-16.335,-17.816,0,0.65051,,,,,1.93265,4.42464,0,1.06716
9990,financialStrength,LIT.MI,29.90872,21.27467,1.02427,1.02427,12.072,15.307,9.0937,9.0937,19.11231,4.88089,28.83702,28.83702,,,12.99276,12.99276
9992,financialStrength,RAT.MI,21.33429,15.6896,2.26037,2.2195,3.022,6.243,54.37084,66.04939,,54.74852,52.91159,38.03101,1.55113,1.58032,67.03106,81.48732
9996,financialStrength,MTV.MI,,,1.47822,1.36491,17.58,20.465,2.27222,6.84631,,,,,,,7.55917,15.66793
9997,financialStrength,MIT.MI,569.0225,,3.41976,2.7327,14.98994,-22.10006,83.38909,84.92882,0.50422,0.30009,0,,2.6105,2.10392,108.4909,113.9024
9998,financialStrength,SITI.MI,,,,,-7.698,-7.698,,,3.23119,3.23119,,0,,,,
9999,financialStrength,DEA.MI,,,2.02231,2.02231,-32.416,-32.416,2.89356,2.89356,,,,0,,,7.17084,7.17084
10000,financialStrength,PRI.MI,17.78156,13.3726,1.33717,1.33717,-2.791,1.778,68.46105,68.46105,3.65718,4.36595,0,0,0.74008,0.74008,96.90256,96.90256
10001,financialStrength,CALT.MI,13.38253,20.66996,1.91934,2.14668,46.327,98.965,64.21402,66.1021,,954.0526,11.40153,17.6937,1.39287,1.53333,77.77004,77.02933
10002,financialStrength,PITE.MI,22.18859,29.17693,0.66953,0.66953,7.126,4.438,60.8549,60.8549,2.30464,2.30464,90.23049,90.23049,0.66286,0.66286,72.42433,72.42433
10003,financialStrength,PQ.MI,1.31773,,2.37522,1.61062,-13.097,-9.564,18.44197,92.1302,-11.0087,-10.77027,11.58245,,1.71979,1.1292,28.42786,134.7553
10004,financialStrength,AUTME.MI,-12.77494,-12.83926,1.60543,1.60543,15.761,15.761,0,0,4.86467,4.86467,0,0,1.60409,1.60409,138.7616,138.7616
10005,financialStrength,ROS.MI,,,1.12418,1.07078,-1.17855,-1.64493,232.165,308.6681,-2.00865,-6.80908,,,0.74222,0.54143,484.0045,573.2149
10006,financialStrength,SFL.MI,,,1.77945,1.77945,-24.905,-24.905,32.21403,32.21403,0.99888,-0.84218,,,0.99014,0.99014,40.65673,40.65673
10007,financialStrength,MAIL.MI,62.04696,62.04696,,,1.50366,1.50366,,,68.0714,68.0714,,0,,,,
