,metricType,symbol,metric.bookValueShareGrowth5Y,metric.capitalSpendingGrowth5Y,metric.dividendGrowthRate5Y,metric.ebitdaCagr5Y,metric.ebitdaInterimCagr5Y,metric.epsGrowth3Y,metric.epsGrowth5Y,metric.epsGrowthQuarterlyYoy,metric.epsGrowthTTMYoy,metric.focfCagr5Y,metric.netMarginGrowth5Y,metric.revenueGrowth3Y,metric.revenueGrowth5Y,metric.revenueGrowthQuarterlyYoy,metric.revenueGrowthTTMYoy,metric.revenueShareGrowth5Y,metric.tbvCagr5Y,metric.totalDebtCagr5Y
3911,growth,JCOM,9.72286,32.70094,-12.85658,15.36322,15.36322,11.93417,11.18686,138.2529,68.39051,22.58301,-5.27054,16.21021,18.02786,17.20198,13.64695,17.08899,,19.52556
3912,growth,HCSG,9.84522,-5.49695,2.65904,19.71008,25.19829,-6.32741,23.10078,-40.0827,-22.71019,60.31239,15.73438,5.61172,7.31694,-9.69629,-8.08064,6.36531,12.88555,
3913,growth,,,,,,,,,,,,,,,,,,,
3914,growth,OGS,3.21554,7.0318,12.62477,6.26559,6.26559,9.86428,11.0857,14.30799,7.95244,,13.36024,5.01123,-1.89789,-2.55325,1.16292,-2.00648,3.79955,7.71142
3915,growth,GLUU,-3.02154,9.92188,,9.03253,9.03253,,-7.68306,705.7546,143.3408,1.84816,-9.99777,27.05294,13.01368,18.02488,12.22716,2.57085,7.86876,
3916,growth,GEVO,-71.68604,4.12094,,,,,,39.50725,78.68492,,,-3.45723,-2.82954,3.96981,-25.48763,-75.11313,9.07353,-18.16466
3917,growth,RGSE,-83.85122,43.80065,,,,,,96.84743,88.6063,,,-34.61041,-26.076,-42.72844,-40.49977,-89.11976,53.07086,-44.08957
3918,growth,MYGN,8.6547,-9.63322,,-18.33572,-22.59389,-66.40715,-51.49329,-428.2142,-199.7892,-15.65602,-53.04293,4.74947,1.80664,-10.00923,2.17309,2.38462,,
3919,growth,LBTYA,5.43317,-12.76951,,-10.2044,-10.2044,,,-341.2355,-317.9672,3.21713,,-5.62601,-7.50044,4.26544,-2.75929,-5.18016,,-9.39657
3920,growth,UNM,7.77122,5.67609,12.28245,18.12305,18.12305,9.92845,27.32712,25.32203,121.5753,7.46975,19.11757,2.77276,2.67379,4.89421,3.51412,6.892,2.92395,3.65074
3921,growth,TGI,,-25.58602,0,-24.96901,-4.57429,,,53.42431,64.30863,,,-4.68635,-2.21269,-12.77753,-9.33543,-1.02623,,-0.80707
3922,growth,,,,,,,,,,,,,,,,,,,
3923,growth,GPN,,,,,27.63234,,,3.50341,-12.69335,,,,,125.7396,45.91084,,,
3924,growth,TAL,50.20877,100.8684,,44.88937,36.80074,44.91314,37.0075,-77.43028,-69.61644,,-5.10976,60.49561,52.19215,47.16216,37.93144,45.41552,51.49783,
3925,growth,MDXG,-8.3757,27.08258,,,,,,445.8254,189337.5,,,24.23195,43.41999,87.97801,44.84577,40.79659,-19.21941,
3926,growth,,,,,,,,,,,,,,,,,,,
3927,growth,GBL,-37.10661,,0,-6.86605,-6.86605,-8.4262,-6.44061,11.27063,-26.74705,11.23638,0.80871,-3.99424,-5.8362,6.54877,-8.51855,-7.1912,-37.23189,-27.0903
3928,growth,G,8.61847,11.68933,,9.05687,9.05687,6.77109,13.30659,2.42575,4.99009,3.9884,0.53844,11.0494,9.08282,12.61763,17.32054,12.67996,,13.20448
3929,growth,,,,,,,,,,,,,,,,,,,
3930,growth,MOV,3.22433,2.88311,15.44155,-6.69477,-6.69477,6.73081,-1.97233,-64.66464,-20.04048,-55.04694,-7.32787,8.24026,3.61311,-4.20963,3.14892,5.56944,-6.3254,
3931,growth,MG,,,,,-0.58152,,,341.3954,-24.65384,,,,,-0.97974,0.83949,,,
3932,growth,GOGO,,-5.04124,,61.69342,62.37028,,,63.30526,12.98128,,,11.8937,15.39216,1.88101,-6.49366,16.61769,,29.33237
