,metricType,symbol,metric.assetTurnoverAnnual,metric.assetTurnoverTTM,metric.inventoryTurnoverAnnual,metric.inventoryTurnoverTTM,metric.netIncomeEmployeeAnnual,metric.netIncomeEmployeeTTM,metric.receivablesTurnoverAnnual,metric.receivablesTurnoverTTM,metric.revenueEmployeeAnnual,metric.revenueEmployeeTTM,metric.roaRfy,metric.roaa5Y,metric.roae5Y,metric.roaeTTM,metric.roeRfy,metric.roeTTM,metric.roi5Y,metric.roiAnnual,metric.roiTTM
4177,management,,,,,,,,,,,,,,,,,,,,
4178,management,OCDO.L,0.96434,0.96434,21.31066,21.31066,-14449.94,-13978.35,20.30751,13.78807,119843.1,115931.9,-11.62746,-4.85331,-12.50875,-26.3843,-26.3843,-11.62746,-6.71352,-14.88876,-14.88876
4179,management,MTW.L,0.54131,0.56526,,,13571.19,14600.68,11.37875,3.42885,96794.7,101771.3,7.58946,7.50235,10.09265,10.14231,9.96335,8.10957,9.22129,9.37255,9.45352
4180,management,MTPH.L,0.05564,0.05719,,,-144000,-155372.9,1.66997,2.30413,26916.67,31203.39,-29.76402,-20.55347,-26.47402,-38.09583,-40.18605,-28.47469,-23.88756,-35.24493,-33.53821
4181,management,MONY.L,1.29488,1.29488,,,124540.7,118181.8,8.58343,8.58343,509711.3,483686.2,31.63861,31.09725,44.24053,47.47374,47.47374,31.63861,40.48408,41.0201,41.0201
4182,management,MERC.L,0.08171,0.08381,,,34248.37,32717.65,29.52974,17.03035,139542.5,128729.4,2.00538,1.14683,1.19392,2.19314,2.09991,2.13008,1.19213,2.09762,2.18562
4183,management,,,,,,,,,,,,,,,,,,,,
4184,management,MARS.L,0.39733,0.39733,10.39909,,-1269.797,-1280.865,18.29306,11.98672,82783.68,83505.3,-0.60946,1.44574,4.94173,-2.03539,-2.03539,-0.60946,1.69194,-0.72451,-0.72451
4185,management,,,,,,,,,,,,,,,,,,,,
4186,management,LSL.L,1.08468,1.08468,,,,,10.53967,8.45813,,,4.52217,10.96102,22.72484,9.13925,9.13925,4.52217,15.37113,6.26626,6.26626
4187,management,KLR.L,1.5722,1.47383,8.70242,,-1298.151,-3290.762,4.99047,3.27168,209256.4,208921.4,-0.97533,2.23235,6.71199,-7.86777,-3.25704,-2.32145,3.67989,-1.60811,-3.6643
4188,management,,,,,,,,,,,,,,,,,,,,
4189,management,INF.L,0.26558,0.26558,,,,,6.59284,6.59284,,,2.26129,3.38479,6.68489,3.9149,3.9149,2.26129,4.16676,2.69518,2.69518
4190,management,INCH.L,1.95472,1.95472,4.74295,4.74295,18261.11,19000,22.52299,18.30364,521094.4,542179.2,6.85006,4.61343,14.95225,24.67994,24.67994,6.85006,10.38928,15.46351,15.46351
4191,management,ICP.L,0.0684,0.07049,,,601957.6,640866.9,1.65603,1.89992,1430995,1498762,2.87726,3.85948,14.7237,14.43165,13.3358,3.01429,4.2218,3.15552,3.28976
4192,management,,,,,,,,,,,,,,,,,,,,
4193,management,HMSO.L,0.01618,0.01618,,,-1060221,-1041049,3.46702,1.25083,241989,237613,-7.09104,1.58058,2.48721,-11.73748,-11.73748,-7.09104,1.64115,-7.29039,-7.29039
4194,management,HL.L,0.54457,0.54703,,,166621.8,166963.2,1.0505,0.953,323351.3,318869.1,28.06143,27.20235,66.64283,63.64518,57.40805,28.64305,66.65479,57.36129,61.92271
4195,management,HGM.L,0.25617,0.27974,2.77332,3.3159,,,19.37561,12.40305,,,4.61737,2.26349,3.45441,8.87296,6.98721,6.03648,2.49316,5.00158,6.57256
4196,management,HEAD.L,1.57828,1.43256,3.62772,3.48919,13232.23,12740.73,7.71064,5.63309,279787.9,275179.3,7.46427,7.0606,14.92691,15.15332,14.76943,6.63272,12.56551,13.13563,11.50654
4197,management,HCG.TO,,,,,187826,,,,631502.8,,0.72916,0.841,9.81877,8.186,8.186,0.72916,,,
4198,management,HAS.L,4.03141,4.11239,,,14381.64,12503.26,6.29361,6.55926,539911.9,533478.1,10.73848,11.39461,27.88686,22.85397,23.06705,9.63831,24.38861,22.44275,17.42658
4199,management,GVC.TO,0.79241,0.72946,58.72731,74.61774,914.4496,21284.54,5.38198,5.42395,98263.95,101998.9,0.73742,-10.16773,-16.97542,23.41633,0.49417,15.22192,-13.44845,0.9922,20.12408
4200,management,GSP.MI,0.16821,0.17354,7.90726,8.73245,-10858.82,21150.94,3.46706,5.7467,521088.3,582729.6,-0.35053,0.81026,2.04895,1.57327,-0.86623,0.62988,0.91023,-0.4027,0.73699
4201,management,GRI.L,0.10125,0.10125,0.11779,0.11779,473814.4,450588.3,3.41387,3.41387,943917.5,897647.1,5.0825,4.19279,10.71074,11.26968,11.26968,5.0825,4.53062,5.41623,5.41623
4202,management,GLE.L,0.95377,0.90718,1.01814,0.90662,63268.61,47440.22,8.86214,11.63071,471063.2,428608.7,12.81008,12.32595,15.49888,13.20688,17.12471,10.04103,15.22338,16.3653,12.52077
4203,management,GFS.L,1.37761,1.37761,57.82883,57.82883,,,5.70441,5.70441,,,-1.42058,1.9781,12.56987,-18.21822,-18.21822,-1.42058,3.23874,-2.3578,-2.3578
4204,management,,,,,,,,,,,,,,,,,,,,
4205,management,GCG.TO,0.26322,0.26322,,,292055.4,288063.8,2.71591,2.71591,644011.6,635209.6,11.93677,7.0608,10.9012,19.20617,19.20617,11.93677,10.21991,17.55328,17.55328
