,Ticker,Name,Exchange,Category Name,Country
87514,MRD.AX,Mount Ridley Mines Limited,ASX,Gold,Australia
87544,ORV.TO,Orvana Minerals Corp.,TOR,Industrial Metals & Minerals,Canada
87551,PDZ.AX,Prairie Mining Limited,ASX,Industrial Metals & Minerals,Australia
87569,SWK.AX,Swick Mining Services Limited,ASX,General Contractors,Australia
87574,MIR.AX,Mirrabooka Investments Limited,ASX,Asset Management,Australia
87589,GTQ1.DE,"Siemens Gamesa Renewable Energy, S.A.",GER,Diversified Machinery,Germany
87599,SYA.AX,Sayona Mining Limited,ASX,Industrial Metals & Minerals,Australia
87611,NMG.AX,NMG Corporation Limited,ASX,Gold,Australia
87624,TND.AX,Top End Minerals Limited,ASX,Industrial Metals & Minerals,Australia
87658,PNN.AX,Pepinnini Minerals Limited,ASX,Industrial Metals & Minerals,Australia
87755,MLNEI.PA,News Invest,PAR,Conglomerates,France
87763,MLWEY.PA,Weya SA,PAR,Diversified Utilities,France
87769,MLUMG.PA,Umalis Group,PAR,Staffing & Outsourcing Services,France
87774,MLHOT.PA,Hotelim Société Anonyme,PAR,Lodging,France
87777,MLORC.PA,Orclass Com,PAR,"Specialty Retail, Other",France
87782,MLSEC.PA,SECURINFOR Société Anonyme,PAR,Information Technology Services,France
87785,MLCHE.PA,Cheops Technology France SA,PAR,Information Technology Services,France
87790,MLTEA.PA,SA Team,PAR,Aerospace/Defense - Major Diversified,France
87793,MLBAT.PA,Batla Minerals SA,PAR,Industrial Metals & Minerals,France
87794,MLMAD.PA,Made SA,PAR,Diversified Utilities,France
87797,MLVIS.PA,Visio Nerf,PAR,Diversified Machinery,France
87798,MLSOL.PA,Solia SA,PAR,Packaging & Containers,France
87799,MLPHO.PA,Photonike Capital SA,PAR,Diversified Utilities,France
87806,MLONL.PA,Onlineformapro S.A.,PAR,Internet Information Providers,France
87807,MLDEX.PA,DEBFLEX S.A.,PAR,Diversified Electronics,France
87813,MLFDV.PA,FD,PAR,Food Wholesale,France
87822,MLMNR.PA,MNR GROUP SA,PAR,Aerospace/Defense - Major Diversified,France
87832,MLCLP.PA,"Colipays, S.A.",PAR,"Specialty Retail, Other",France
87836,MLAAE.PA,Caire,PAR,"Air Services, Other",France
87839,MLATV.PA,A Toute Vitesse SA,PAR,Business Services,France
87841,MLPGO.PA,PGO Automobiles S.A.,PAR,Auto Manufacturers - Major,France
87871,MMI.AX,Metro Mining Limited,ASX,Industrial Metals & Minerals,Australia
87968,MORG.OL,Sparebanken Møre,OSL,Money Center Banks,Norway
